company_name,revenue,existing_loans,liabilities,assets,profit,gst_revenue,sector,years_in_operation
ABC Manufacturing,50000000,30000000,40000000,80000000,2500000,48000000,Manufacturing,8
XYZ Textiles,30000000,15000000,20000000,45000000,1500000,28000000,Textiles,5
Tech Solutions Pvt Ltd,80000000,20000000,25000000,120000000,12000000,75000000,IT Services,12
Global Exports,120000000,60000000,70000000,150000000,8000000,115000000,Trading,15
Auto Components Ltd,40000000,35000000,50000000,75000000,-2000000,38000000,Manufacturing,6
Retail Chain India,200000000,80000000,100000000,250000000,15000000,190000000,Retail,10
Pharma Corp,90000000,40000000,45000000,140000000,10000000,85000000,Pharmaceuticals,20
Construction Co,150000000,100000000,120000000,200000000,5000000,140000000,Construction,7
Food Processing,60000000,25000000,30000000,90000000,4000000,55000000,Food Processing,9
Logistics Solutions,45000000,20000000,22000000,65000000,3000000,42000000,Logistics,4
Chemical Industries,75000000,50000000,60000000,110000000,2000000,70000000,Chemicals,25
E-commerce Startup,25000000,10000000,15000000,40000000,-5000000,20000000,E-commerce,3
Steel Plant,180000000,120000000,140000000,250000000,10000000,170000000,Manufacturing,30
Education Services,35000000,8000000,12000000,50000000,8000000,30000000,Education,12
Healthcare Provider,55000000,15000000,20000000,80000000,6000000,50000000,Healthcare,8
Real Estate Developer,200000000,150000000,180000000,300000000,15000000,180000000,Real Estate,11
Solar Energy Co,40000000,30000000,35000000,70000000,1000000,35000000,Renewable Energy,6
Banking Services,500000000,200000000,400000000,800000000,50000000,450000000,Financial Services,50
Telecom Provider,300000000,150000000,200000000,500000000,25000000,280000000,Telecommunications,22
Agriculture Products,80000000,40000000,45000000,120000000,7000000,75000000,Agriculture,15
